file_name,text
1.jpg,milk and cheese on a table
2.jpg,a halo halo halo halo halo halo halo halo halo halo halo halo halo halo halo
3.jpg,a man kneeling next to a deer
4.jpg,the floor plan for a bedroom
5.jpg,a woman with glasses on
6.jpg,a woman with a beard and a man with a beard
7.jpg,a man talking on the phone
8.jpg,a man in a suit sitting at a table
9.jpg,a man in a suit and tie
10.jpg,a panda bear sitting on top of a tree stump
11.jpg,a glass of beer with a capt
12.jpg,a man playing cards on a table
13.jpg,a woman in a pink bikini
14.jpg,trump and his wife
15.jpg,two people in a kitchen
16.jpg,a woman sitting in a car
17.jpg,a person in front of a screen
18.jpg,a man holding a gun in front of a building
19.jpg,a man in a suit sitting on a bench
21.jpg,"a cartoon with the capt that says,'this is the future '"
22.jpg,a man and woman in bed
23.jpg,a woman in a bikini with two other women
24.jpg,a woman with her face painted with the words woman self self self self self self
25.jpg,a girl sitting on a bed
26.jpg,"a pokemon with the capt that says,'i'm '"
27.jpg,a woman cooking in the kitchen
28.jpg,a group of people with hats on
30.jpg,a birthday cake with the words happy birthday
32.jpg,a person with a glass of water
33.jpg,a cat standing on the edge of a bridge
34.jpg,a person's hand with a lot of writing on it
35.jpg,"a man in a hospital room with the capt that reads,'woman's"
36.jpg,a cartoon character with different expressions
37.jpg,two naked men on a bike
39.jpg,a person with a hat on
40.jpg,a baby and a dog
42.jpg,a woman cooking in a kitchen
43.jpg,a woman in a lion costume
44.jpg,a person sleeping on a bed
45.jpg,three women dressed as superheros
47.jpg,a woman looking out of a window
48.jpg,a woman with a red lipstick
50.jpg,a guy drinking a drink
52.jpg,"a cartoon character with the capt that reads, what's the problem??"
53.jpg,a woman in a red dress and a man in a white shirt
55.jpg,a woman in a blue shirt
56.jpg,a man sitting at a table
57.jpg,a white snake with a flower in its mouth
58.jpg,a woman with makeup on her face
59.jpg,a man sleeping in bed with a phone
60.jpg,a man in a suit and hat
62.jpg,a man with a sword and a woman with a sword
63.jpg,a man with long hair and beards
64.jpg,two people in the kitchen
65.jpg,a cartoon character with the capt that says i love you
66.jpg,a wolf with its mouth open
67.jpg,a woman laying on the floor with a gun in her hand
69.jpg,two people and a cat
70.jpg,a man drinking water from a bottle
71.jpg,a man in a red shirt
73.jpg,a room full of garbage
74.jpg,two women posing for the camera
75.jpg,"a car with the words, when you're, you can't stay"
78.jpg,a fat woman in a bikini
79.jpg,a woman in a red shirt and black skirt
80.jpg,a woman standing in a living room
81.jpg,a man in a suit and a woman in a suit
82.jpg,"a cartoon character with a capt that reads,'i'veldo the"
83.jpg,a woman in a black bra
87.jpg,a toilet on top of a mountain
89.jpg,a baby crying in the grass
90.jpg,sh sh sh sh sh sh sh sh sh sh sh sh sh sh sh sh
91.jpg,a bird sitting on top of a sign
92.jpg,a girl with glasses on her face
93.jpg,a man in a suit and tie
94.jpg,"a penguin with the capt that reads, you go to the orange dot woman orange"
96.jpg,a man in a suit and hat dancing
97.jpg,a man and a little girl
98.jpg,a woman with a paper hat on her head
99.jpg,a woman sitting on a bed
101.jpg,a man and woman in a bath
102.jpg,a man in a suit and tie
103.jpg,a woman in a blue tank top and black leggings
104.jpg,a person in the dark
105.jpg,an aurora aurora aurora aurora aurora aurora aurora aurora aurora aurora aurora aurora aurora aurora aurora
106.jpg,a man and a koloo
107.jpg,an egg with a face drawn on it
108.jpg,a man in a blue suit with a microphone
109.jpg,a woman's face with sunglasses on
111.jpg,a man talking on the phone
112.jpg,a man and a woman in a kitchen
